Ouery_Cleaned,Answer
yellowing fertilizer doseask white fly sucking pests problem,Suggested: Urea 100 gram/pump spraySuggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spraySuggested: Fipronil 5 SC 25ml/pump spray [Final Control]
general informations,-All information provided - Thanks for calling in kisaan call center
vask sucking pests problem,Suggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
leaf,I suggested to spray micronutrient
red leaf problem cottonask mealy bug,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
fetilizer flower drop,sujjest for DAP
flower droping,I suggested weather problem and boomflower 20 ml/pump sprey
mealy bug prob,Suggested: Profenofos 50% EC 25 ml/pump spray
daativada agri uni contact number,Daativada Agri Uni Contact number Call:02748-278437(atic)
sucking pests problem suggested dimethoate rogar e c ml pump spray suitable young crops,Suggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]Ask about sucking pests problem in crop Suggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
pink ball worm sucking pest,"Suggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray for pink boll worm,"
vask heliothese pink ball warm,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
heliothese pink ball warm cottonask termite nematod white grub,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stageSuggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
larvae prob,Suggested: Coragen 18.5 SC 5ml/pump spray [ final solution ]
spraying fertilizer application,I suggested 19:19:19
flower drop problemask heliothese pink ball warm,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stage
red leaf problem cottonask flower drop problem,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Boom Flower (Nitrobenzene) 15 ml/pump sprayc
drop problemsuggested ml naa planofix gm ferti pump spray,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
mixing different pesticides fungicides,Suggested: Do not mix different pesticides in a single pump. Spray it seprately with a proper time gap.
fro thrips problem,Suggested: Imidacloprid 17.8% s.l. 5 ml/pump  spraySuggested: Monocrotophos 36% sc/ec/sl 20ml/pump spraySuggested: Acephate 75% sp 15 gram/pump spray
company details,Suggest: No private company details available
flower problem,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
flower droping problem,I SUGGESTED WEATHER CLIMET CHANGE PROBLEM NOT ANY TREAMANT REQUIRED
fertilizer doseask fungus problem root,Suggested: Ammonium Sulphate(20.6-00-00 15 kg/vigha as basal applicationSuggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
fungus problem rootask fungus problem root,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
flower drop problemask larvae,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Quinalphos 25 EC 30 ml/pump spray
heliothese pink ball warm ml pump,biveriya bejiana 40 gram
pink bollwormsuggested deltamethrin triazophos ml pump spray,Deltamethrin  AND Triazophos 25 ml/pump spray????????????? +  ?????????? 25 ????/??? ?????? ????
heliothese pink ball warm cottonask white fly,DELTAMETHRIN + TRIZOPHOS 25 ML/ PUMP SPRAYSuggested: Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
thrhips,Suggested: Profenofos 50% EC 25 ml/pump spray
practice,no any apllication
drop problemsuggested,5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
leaf redness,Suggested: Micro Mixture fertilizer as per company recomendation
sowing time chana,suggest:to October -november
thirps informaiton,Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]
sucking pests,flonicamide 3 gm/ 15 lit pump
ml pump sprayask sucking pests problem cro,Suggested: Imidacloprid 17.8% s.l. 5 ml/pump  sprayAsk about sucking pests problem in crop
sucking pest suggested fipronil sc ml pump spray final sc sucking pest,Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]
chlorosis,blu copper 40ml/pump
cotoon,Suggested: Coragen 18.5 SC 5ml/pump spray [ final solution ]
intercrop,suggest:sesame
root rot ground nut,I suggested to drenching blue copper 40 gm /pump for root rot in ground nut
drop problemask fungus problem root,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spraySuggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
sucking pest drop problem,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
general informationsuggested provided,Suggested: All information provided - Thanks for calling in kisaan call center
larva inn crops,suggeasted:DDVP 5 ML+deltamethrin+trayzophose 25 ML
red leaf problem cottonsuggested magnesium sulphate gm pump spray,Suggested: Magnesium sulphate 100 gm/pump spray
abot whitefly,Suggested: Profenofos 50% EC 25 ml/pump spray
fungus problem rootask white fly,Suggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] ?????????? 40% EC 30 ???? / ??? ?????? ???? [???? ??? ???? ?? ?????]
red leaf problem cottons,uggested: Magnesium sulphate 100 gm/pump spray
sucking pest problm,Suggested: Profenofos 50% EC 25 ml/pump spray
thrips sucking pest,"thipronil 10 ml/pump , thaimethoxam 2 g/10 liter"
sucking problem,I suggested thimethoxam 5 gm/pump sprey
cotto leaf yellowing,I suggested to spray 19:19:19 NPK 100 gm/pump
white fly problem,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] Suggested: Profenofos 50% EC 25 ml/pump spray
red leaf problem cottonask fertilizer dose,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Urea (46-00-00) 8-10 kg/ha as top dressing application
mite problem,Suggested: Fenpyroximate 5% SC (Dinamite) 15 ml/pump spray ORSuggested: Fenzaquin 10 EC (Megastar)  15 ml/pump spray
sucing pest problem,Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]
enlarge fruit size,Suggested: 13-00-45 fertilizer 100 gram/pump spray
suggest problem,Suggested: 100 gm hirakashi powder (FeSo4) + 10 gm limbu na ful (Cytric Acid) / pump spray
mite redmite ant sucking pests problem,Suggested: Ethion 50% EC 15 ml/pump spraySuggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
mealy bvug,I SUGGESTED TO SPRAY PROPHENOPHOS 15 ML/PUMP FOR MEALY BVUG IN COTTON
fertilizew application,sujjest: to apply urea
flower dropask mealy bug informaiton,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
flower drop problemask yellowing fertilizer dose,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: 19-19-19 fertilizer 100 gm/pump spray
sucking pests problem yellowing fertilizer dose,Suggested: Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]Suggested: 19-19-19 fertilizer 100 gm/pump spray
flower drop problemask white fly,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
red leaf problem fungus problem root,Suggested: Magnesium sulphate 100 gm/pump spraysuggested:copperoxicloride 50%wp 40 gram/pump drenching
fungus problem cropask flower drop problem,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Carbendazim (Bavistin) 50% W.P. 20 gram/pump spray
anthrcnose,suggest: spray mancozeb 35gm/pump
tobaco,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
fertilizer application castor,I suggested recommended fertilizer dose in the castor
fungus problem cropask larvae,Suggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray Suggested: Quinalphos 25 EC 30 ml/pump spray
red leaf problem cottonask larvae flower drop problem,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Quinalphos 25 EC 30 ml/pump spraySuggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
sucking pests problem sesamum,"Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]Guj. Til - 3,4, 10 (black) Purva-1 (ArdhSiyalu)"
abot genarl crops,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
spreyin time,SUGGESTED FOR 9 AM IN MORNING
